FileName,Autor,Categoria,GPSLatitude,GPSLongitude,GPSAltitude,GPSImgDirection,CreateDate,Especie_tentativa,Confianza_ID,Estatus_nativo_SG,Clima_referencia
DANIELA_IMG_8329.HEIC,Daniela,biotic,"1 deg 20' 21.42"" N","103 deg 52' 25.99"" E",32.6 m Above Sea Level,199.1622163,2026:09:05 11:10:17,Russelia equisetiformis,Alta,No nativa (Mexico/Guatemala),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8407.HEIC,Daniela,biotic,"1 deg 20' 16.63"" N","103 deg 52' 23.33"" E",25.8 m Above Sea Level,294.1759336,2026:09:05 14:32:07,flor blanca + hoja variegada sin ID,Baja-Media,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8391.HEIC,Daniela,biotic,"1 deg 20' 19.36"" N","103 deg 52' 25.52"" E",22.9 m Above Sea Level,260.4109192,2026:09:05 14:16:01,sin especie clara + enredadera lila no ID,Baja,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5834.JPG,Janelle,biotic,"1 deg 20' 21.10"" N","103 deg 52' 25.72"" E",21.4 m Above Sea Level,264.9056704,2026:09:05 14:30:47,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8411.HEIC,Daniela,biotic,"1 deg 20' 18.68"" N","103 deg 52' 22.25"" E",24.3 m Above Sea Level,80.44372559,2026:09:05 14:34:20,hoja grande sin ID,Baja,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8410.HEIC,Daniela,biotic,"1 deg 20' 17.00"" N","103 deg 52' 21.95"" E",22.1 m Above Sea Level,20.90336419,2026:09:05 14:33:30,Duranta erecta (mismo individuo),Media,No nativa (America tropical),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8390.HEIC,Daniela,biotic,"1 deg 20' 19.40"" N","103 deg 52' 25.52"" E",23.3 m Above Sea Level,263.2120364,2026:09:05 14:15:52,Canna sp.,Baja,No investigable con certeza (falta ID de especie),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5830.JPG,Janelle,biotic,"1 deg 20' 20.54"" N","103 deg 52' 25.74"" E",22 m Above Sea Level,263.1169126,2026:09:05 14:30:43,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8328.HEIC,Daniela,biotic,"1 deg 20' 21.49"" N","103 deg 52' 26.18"" E",22.2 m Above Sea Level,176.2342986,2026:09:05 11:09:59,Duranta erecta,Media-Alta,No nativa (America tropical),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5831.JPG,Janelle,biotic,"1 deg 20' 21.01"" N","103 deg 52' 25.69"" E",21.5 m Above Sea Level,265.1309812,2026:09:05 14:30:45,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8312.HEIC,Daniela,biotic,"1 deg 20' 17.06"" N","103 deg 52' 21.84"" E",16.8 m Above Sea Level,221.6673431,2026:09:05 10:27:45,Antigonon leptopus (bejuco coralillo),Alta,No nativa (Mexico),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5833.JPG,Janelle,biotic,"1 deg 20' 21.09"" N","103 deg 52' 25.72"" E",21.3 m Above Sea Level,265.2140199,2026:09:05 14:30:46,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5832.JPG,Janelle,biotic,"1 deg 20' 21.09"" N","103 deg 52' 25.72"" E",21.3 m Above Sea Level,265.3374636,2026:09:05 14:30:46,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5749.JPG,Janelle,biotic,"1 deg 20' 19.83"" N","103 deg 52' 27.06"" E",25.3 m Above Sea Level,28.70765113,2026:09:05 13:58:25,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8331.HEIC,Daniela,biotic,"1 deg 20' 22.91"" N","103 deg 52' 27.03"" E",34.1 m Above Sea Level,136.5880584,2026:09:05 11:14:05,Clerodendrum paniculatum,Media,No nativa,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5750.JPG,Janelle,biotic,"1 deg 20' 19.84"" N","103 deg 52' 27.06"" E",26.5 m Above Sea Level,31.31783484,2026:09:05 13:58:27,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8409.HEIC,Daniela,biotic,"1 deg 20' 16.85"" N","103 deg 52' 22.09"" E",23.1 m Above Sea Level,250.2870178,2026:09:05 14:33:14,Jasminum sambac,Media,No nativa (solo cultivada),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5751.JPG,Janelle,biotic,"1 deg 20' 19.79"" N","103 deg 52' 26.92"" E",27.2 m Above Sea Level,31.94615175,2026:09:05 13:58:30,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5786.JPG,Janelle,biotic,"1 deg 20' 23.23"" N","103 deg 52' 28.05"" E",23.1 m Above Sea Level,264.6478882,2026:09:05 14:14:54,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5784.JPG,Janelle,biotic,"1 deg 20' 23.38"" N","103 deg 52' 28.10"" E",21.5 m Above Sea Level,268.2285464,2026:09:05 14:14:50,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8385.HEIC,Daniela,biotic,"1 deg 20' 20.77"" N","103 deg 52' 24.04"" E",25.4 m Above Sea Level,193.7379455,2026:09:05 14:13:50,Blechnopsis orientalis (mismo individuo),Media,NATIVA (Least Concern),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5753.JPG,Janelle,biotic,"1 deg 20' 19.79"" N","103 deg 52' 27.01"" E",26.8 m Above Sea Level,282.4034119,2026:09:05 13:58:55,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8413.HEIC,Daniela,biotic,"1 deg 20' 19.59"" N","103 deg 52' 22.42"" E",35.5 m Above Sea Level,99.37468716,2026:09:05 14:35:08,Ardisia elliptica,Media,"NATIVA (pero invasora fuera de su rango, ej. Florida)","5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8405.HEIC,Daniela,biotic,"1 deg 20' 16.56"" N","103 deg 52' 24.09"" E",19.3 m Above Sea Level,19.61017607,2026:09:05 14:31:26,Lantana camara,Alta,"No nativa, potencialmente invasora","5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5752.JPG,Janelle,biotic,"1 deg 20' 19.78"" N","103 deg 52' 26.92"" E",27.6 m Above Sea Level,239.2183381,2026:09:05 13:58:39,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5785.JPG,Janelle,biotic,"1 deg 20' 23.22"" N","103 deg 52' 28.05"" E",23.1 m Above Sea Level,266.8856813,2026:09:05 14:14:52,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5756.JPG,Janelle,biotic,"1 deg 20' 19.78"" N","103 deg 52' 27.01"" E",26.7 m Above Sea Level,284.0773621,2026:09:05 13:58:58,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8412.HEIC,Daniela,biotic,"1 deg 20' 18.68"" N","103 deg 52' 22.25"" E",24.8 m Above Sea Level,70.58724969,2026:09:05 14:34:24,misma planta variegada que 8407,Baja-Media,No investigado (sin ID de especie),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8384.HEIC,Daniela,biotic,"1 deg 20' 20.75"" N","103 deg 52' 24.12"" E",27.7 m Above Sea Level,163.3874207,2026:09:05 14:13:42,Blechnopsis orientalis (mismo individuo),Media,NATIVA (Least Concern),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5755.JPG,Janelle,biotic,"1 deg 20' 19.78"" N","103 deg 52' 27.01"" E",26.7 m Above Sea Level,282.6374819,2026:09:05 13:58:57,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8326.HEIC,Daniela,biotic,"1 deg 20' 21.40"" N","103 deg 52' 26.13"" E",31.3 m Above Sea Level,176.6031646,2026:09:05 11:09:11,Bidens alba + Vernonia/Cyanthillium sp. (fondo),Media,Bidens alba: no nativa; Vernonia/Cyanthillium: no concluyente,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8408.HEIC,Daniela,biotic,"1 deg 20' 16.72"" N","103 deg 52' 23.13"" E",23.2 m Above Sea Level,10.99047279,2026:09:05 14:32:27,Duranta erecta,Media-Alta,No nativa (America tropical),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5754.JPG,Janelle,biotic,"1 deg 20' 19.78"" N","103 deg 52' 27.01"" E",26.7 m Above Sea Level,282.7695008,2026:09:05 13:58:56,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8383.HEIC,Daniela,biotic,"1 deg 20' 20.74"" N","103 deg 52' 24.04"" E",25.8 m Above Sea Level,165.7755432,2026:09:05 14:13:39,Blechnopsis orientalis,Media,NATIVA (Least Concern),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5765.MOV,Janelle,biotic,"1 deg 20' 21.48"" N","103 deg 52' 26.40"" E",30.31 m,,2026:09:05 06:04:52,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8395.HEIC,Daniela,biotic,"1 deg 20' 20.19"" N","103 deg 52' 22.53"" E",20.1 m Above Sea Level,65.04188538,2026:09:05 14:20:17,Antigonon leptopus,Alta,No nativa (Mexico),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5666.JPG,Janelle,biotic,"1 deg 20' 21.05"" N","103 deg 52' 23.21"" E",19.2 m Above Sea Level,224.1271211,2026:09:05 10:47:00,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5764.MOV,Janelle,biotic,"1 deg 20' 21.84"" N","103 deg 52' 26.40"" E",18.801 m,,2026:09:05 06:04:32,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5742.JPEG,Janelle,biotic,"1 deg 20' 19.85"" N","103 deg 52' 26.84"" E",21.8 m Above Sea Level,,2026:09:05 13:57:18,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8376.HEIC,Daniela,biotic,"1 deg 20' 19.80"" N","103 deg 52' 25.52"" E",20.9 m Above Sea Level,30.22130014,2026:09:05 14:05:47,Colocasia esculenta,Media-Alta,"No nativa (Asia tropical, cultivada)","5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5670.JPG,Janelle,biotic,"1 deg 20' 19.69"" N","103 deg 52' 25.52"" E",12.6 m Above Sea Level,258.8835754,2026:09:05 10:49:30,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5671.JPG,Janelle,biotic,"1 deg 20' 19.64"" N","103 deg 52' 25.47"" E",9.9 m Above Sea Level,258.0577391,2026:09:05 10:49:34,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8336.HEIC,Daniela,biotic,"1 deg 20' 24.79"" N","103 deg 52' 25.74"" E",39.4 m Above Sea Level,44.6177063,2026:09:05 11:26:58,vegetacion sotobosque sin ID,Baja,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5743.JPEG,Janelle,biotic,"1 deg 20' 19.85"" N","103 deg 52' 26.84"" E",21.8 m Above Sea Level,,2026:09:05 13:57:19,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8402.HEIC,Daniela,biotic,"1 deg 20' 18.95"" N","103 deg 52' 22.34"" E",20.9 m Above Sea Level,122.4178543,2026:09:05 14:28:40,Cyperus sp.,Media,No concluyente (falta ID de especie),"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8315.HEIC,Daniela,abiotic,"1 deg 20' 17.01"" N","103 deg 52' 21.93"" E",19.6 m Above Sea Level,326.2451172,2026:09:05 10:33:37,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5652.JPG,Janelle,abiotic,"1 deg 20' 17.36"" N","103 deg 52' 22.55"" E",12.5 m Above Sea Level,70.14469914,2026:09:05 10:32:15,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5646.JPG,Janelle,abiotic,"1 deg 20' 17.28"" N","103 deg 52' 22.69"" E",11.9 m Above Sea Level,105.525406,2026:09:05 10:30:33,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5685.JPG,Janelle,abiotic,"1 deg 20' 19.72"" N","103 deg 52' 26.54"" E",22.2 m Above Sea Level,46.09626388,2026:09:05 11:03:33,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5684.JPG,Janelle,abiotic,"1 deg 20' 19.72"" N","103 deg 52' 26.54"" E",22.1 m Above Sea Level,44.51805878,2026:09:05 11:03:32,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5647.JPG,Janelle,abiotic,"1 deg 20' 17.28"" N","103 deg 52' 22.69"" E",11.8 m Above Sea Level,107.6672592,2026:09:05 10:30:35,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5653.JPG,Janelle,abiotic,"1 deg 20' 17.36"" N","103 deg 52' 22.53"" E",11.9 m Above Sea Level,11.64804745,2026:09:05 10:32:18,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8397.HEIC,Daniela,abiotic,"1 deg 20' 19.89"" N","103 deg 52' 22.34"" E",28.8 m Above Sea Level,112.1089554,2026:09:05 14:20:45,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5719.JPG,Janelle,abiotic,"1 deg 20' 28.29"" N","103 deg 52' 27.06"" E",,270.407257,2026:09:05 11:41:51,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5739.JPG,Janelle,abiotic,"1 deg 20' 19.87"" N","103 deg 52' 26.71"" E",28.2 m Above Sea Level,36.9009247,2026:09:05 13:55:15,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8358.HEIC,Daniela,abiotic,"1 deg 20' 16.57"" N","103 deg 52' 23.98"" E",25 m Above Sea Level,341.5146178,2026:09:05 13:59:09,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5679.JPG,Janelle,abiotic,"1 deg 20' 17.37"" N","103 deg 52' 25.22"" E",22.3 m Above Sea Level,303.6263121,2026:09:05 10:59:34,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5645.JPG,Janelle,abiotic,"1 deg 20' 17.28"" N","103 deg 52' 22.67"" E",14.8 m Above Sea Level,107.0468826,2026:09:05 10:30:27,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5686.JPG,Janelle,abiotic,"1 deg 20' 19.81"" N","103 deg 52' 26.26"" E",27.7 m Above Sea Level,35.95397188,2026:09:05 11:04:22,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5687.JPG,Janelle,abiotic,"1 deg 20' 19.67"" N","103 deg 52' 26.40"" E",23.9 m Above Sea Level,33.61971663,2026:09:05 11:04:23,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8323.HEIC,Daniela,abiotic,"1 deg 20' 19.69"" N","103 deg 52' 26.76"" E",25.6 m Above Sea Level,300.049469,2026:09:05 11:04:37,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5650.JPG,Janelle,abiotic,"1 deg 20' 17.40"" N","103 deg 52' 22.55"" E",15.2 m Above Sea Level,3.417249206,2026:09:05 10:32:10,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5678.JPG,Janelle,abiotic,"1 deg 20' 17.06"" N","103 deg 52' 26.07"" E",19.7 m Above Sea Level,72.2348251,2026:09:05 10:59:08,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8374.HEIC,Daniela,abiotic,"1 deg 20' 19.50"" N","103 deg 52' 25.77"" E",24.7 m Above Sea Level,105.8466034,2026:09:05 14:05:21,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5738.JPG,Janelle,abiotic,"1 deg 20' 19.86"" N","103 deg 52' 26.71"" E",28.9 m Above Sea Level,44.68617252,2026:09:05 13:55:13,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8362.HEIC,Daniela,abiotic,"1 deg 20' 18.21"" N","103 deg 52' 26.51"" E",23.8 m Above Sea Level,264.8342593,2026:09:05 14:02:07,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8335.HEIC,Daniela,abiotic,"1 deg 20' 24.64"" N","103 deg 52' 25.36"" E",39 m Above Sea Level,44.4755249,2026:09:05 11:25:19,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5718.JPG,Janelle,abiotic,"1 deg 20' 26.08"" N","103 deg 52' 28.43"" E",30.1 m Above Sea Level,251.0693359,2026:09:05 11:40:13,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5654.JPG,Janelle,abiotic,"1 deg 20' 17.36"" N","103 deg 52' 22.55"" E",11.2 m Above Sea Level,22.20947266,2026:09:05 10:32:21,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5683.JPG,Janelle,abiotic,"1 deg 20' 19.70"" N","103 deg 52' 26.51"" E",21.4 m Above Sea Level,45.35765838,2026:09:05 11:03:31,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8322.HEIC,Daniela,abiotic,"1 deg 20' 19.71"" N","103 deg 52' 26.79"" E",25.9 m Above Sea Level,62.32474519,2026:09:05 11:04:32,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8359.HEIC,Daniela,abiotic,"1 deg 20' 16.57"" N","103 deg 52' 24.95"" E",25.3 m Above Sea Level,355.9391172,2026:09:05 13:59:48,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5655.JPG,Janelle,abiotic,"1 deg 20' 17.36"" N","103 deg 52' 22.55"" E",10.4 m Above Sea Level,21.72432135,2026:09:05 10:32:25,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V2_IMG_5729.JPG,Janelle,abiotic,"1 deg 20' 19.88"" N","103 deg 52' 26.48"" E",23.4 m Above Sea Level,56.64487844,2026:09:05 13:53:20,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5709.JPG,Janelle,abiotic,"1 deg 20' 25.61"" N","103 deg 52' 23.21"" E",29.8 m Above Sea Level,40.39295958,2026:09:05 11:26:43,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5723.JPG,Janelle,abiotic,"1 deg 20' 27.02"" N","103 deg 52' 27.47"" E",27.3 m Above Sea Level,215.7127686,2026:09:05 11:59:34,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8380.HEIC,Daniela,abiotic,"1 deg 20' 19.87"" N","103 deg 52' 25.28"" E",19.2 m Above Sea Level,282.6007995,2026:09:05 14:06:21,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5657.JPG,Janelle,abiotic,"1 deg 20' 20.65"" N","103 deg 52' 24.45"" E",10.5 m Above Sea Level,171.9310762,2026:09:05 10:41:30,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5643.JPG,Janelle,abiotic,"1 deg 20' 17.35"" N","103 deg 52' 22.83"" E",16.4 m Above Sea Level,101.1771697,2026:09:05 10:30:05,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5680.JPG,Janelle,abiotic,"1 deg 20' 17.11"" N","103 deg 52' 26.02"" E",20.8 m Above Sea Level,301.0461428,2026:09:05 10:59:36,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8355.HEIC,Daniela,abiotic,"1 deg 20' 17.30"" N","103 deg 52' 22.72"" E",26.3 m Above Sea Level,94.55236825,2026:09:05 13:56:57,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5695.JPG,Janelle,abiotic,"1 deg 20' 20.23"" N","103 deg 52' 25.16"" E",21.3 m Above Sea Level,63.95687104,2026:09:05 11:07:07,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
JANELLE_V1_IMG_5656.JPG,Janelle,abiotic,"1 deg 20' 20.62"" N","103 deg 52' 24.45"" E",20 m Above Sea Level,174.3797761,2026:09:05 10:41:23,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
DANIELA_IMG_8314.HEIC,Daniela,abiotic,"1 deg 20' 16.82"" N","103 deg 52' 22.12"" E",25 m Above Sea Level,177.8456573,2026:09:05 10:33:03,,,,"5 sept 2026, 30-33.5C, sin lluvia, despejado (ver species_native_status.md)"
